Start,End,Open,High,Low,Close,Volume,Market Cap
2025-07-25,2025-07-26,0.9999,0.9999,0.9998,0.9998,26827758920.020905,64746353975.49826
2025-07-24,2025-07-25,0.9999,1,0.9998,0.9999,24707223145.20209,64725934020.34146
2025-07-23,2025-07-24,0.9998,1,0.9998,0.9999,21967821985.16028,64718437161.88502
2025-07-22,2025-07-23,0.9999,1,0.9998,0.9998,25422992494.341465,64677038980.87108
2025-07-21,2025-07-22,0.9998,0.9999,0.9997,0.9998,26489588823.512196,64442584995.3554
2025-07-20,2025-07-21,0.9999,0.9999,0.9998,0.9999,19208978715.891987,64575475023.28571
2025-07-19,2025-07-20,0.9998,0.9999,0.9998,0.9999,32875552916.174217,64766774011.49826
2025-07-18,2025-07-19,0.9998,1,0.9998,0.9999,45331930946.50174,64512158210.149826
2025-07-17,2025-07-18,0.9999,1,0.9996,0.9999,27657573437.28223,63547222281.45993
2025-07-16,2025-07-17,0.9999,1,0.9998,0.9998,24049236933.146343,62654156741.57143
2025-07-15,2025-07-16,0.9998,1,0.9998,0.9999,25019669531.853657,63095718842.61672
2025-07-14,2025-07-15,0.9999,1,0.9998,0.9998,20833239479,63509753374.04181
2025-07-13,2025-07-14,0.9998,0.9999,0.9998,0.9999,10692420273.885017,63632250160.43205
2025-07-12,2025-07-13,1,1,0.9998,0.9999,18794352058.853657,63572457219.888504
2025-07-11,2025-07-12,0.9999,1,0.9998,0.9999,28756890063.73519,62880419412.49129
2025-07-10,2025-07-11,0.9999,1,0.9998,0.9999,18317251195.463413,62441693311.14286
2025-07-09,2025-07-10,0.9999,1,0.9998,0.9999,12243354678.264809,61948828717.954704
2025-07-08,2025-07-09,0.9998,0.9999,0.9998,0.9999,11717836267.254354,61971637996.940765
2025-07-07,2025-07-08,0.9998,0.9999,0.9998,0.9998,10011109713.74386,62132169874.63158
2025-07-06,2025-07-07,0.9999,0.9999,0.9998,0.9999,5186576435.923345,62209315619.37979
2025-07-05,2025-07-06,0.9998,0.9999,0.9998,0.9998,8284917664.5818815,62163756820.0662
2025-07-04,2025-07-05,0.9998,1,0.9998,0.9999,11821127077.18467,62150445515
2025-07-03,2025-07-04,0.9999,1,0.9998,0.9999,16450484949.18467,61756773392.888504
2025-07-02,2025-07-03,0.9999,0.9999,0.9998,0.9998,13070695657.50871,61648703293.69338
2025-07-01,2025-07-02,0.9999,0.9999,0.9998,0.9998,11797512094.554007,61508517005.47387
2025-06-30,2025-07-01,0.9998,0.9999,0.9998,0.9998,9898094280.860628,61642886070.19512
2025-06-29,2025-06-30,0.9999,0.9999,0.9998,0.9999,4968805322.756098,61703700948.44948
2025-06-28,2025-06-29,0.9998,0.9999,0.9997,0.9998,8086448639.79791,61712328615.874565
2025-06-27,2025-06-28,0.9999,0.9999,0.9997,0.9998,11300215257.74216,61695225793.494774
2025-06-26,2025-06-27,0.9998,0.9999,0.9998,0.9999,12238641991.829268,61776821465.21603
2025-06-25,2025-06-26,0.9999,1,0.9998,0.9998,13131553033.348433,61834432968.65505
2025-06-24,2025-06-25,0.9999,1,0.9998,0.9999,20763052465.16028,61665632547.78745
2025-06-23,2025-06-24,0.9998,0.9999,0.9997,0.9998,18478615931.07317,61289025131.850174
2025-06-22,2025-06-23,0.9998,0.9999,0.9997,0.9998,15405719332.832752,61232351404.64111
2025-06-21,2025-06-22,0.9998,0.9999,0.9997,0.9998,11394066930.118467,61248149898.73868
2025-06-20,2025-06-21,0.9998,0.9999,0.9997,0.9998,10328965952.15331,61282158325.452965
2025-06-19,2025-06-20,0.9998,0.9999,0.9997,0.9998,11983468110.017422,61457431574.0662
