Start,End,Open,High,Low,Close,Volume,Market Cap
2024-08-02,2024-08-03,1.8752480668148994,1.891560795869924,1.770900271634364,1.770900271634364,495478.34843205573,44229344.97212543
2024-08-01,2024-08-02,1.9262053308712066,1.9500805236844911,1.8457904791415551,1.8750820113462294,319354.2717770035,44958743.5087108
2024-07-31,2024-08-01,1.936475659603766,1.9795540307763997,1.9140195240684412,1.923891973329244,262470.3135888502,46623656.18466899
2024-07-30,2024-07-31,1.9391043302577664,1.9714514405990398,1.9250450054797155,1.9364553108983904,297872.34843205573,46481065.86759582
2024-07-29,2024-07-30,2.004487913239729,2.0548938853955137,1.939427865829607,1.939570595732029,262001.9581881533,47514701.362369336
2024-07-28,2024-07-29,1.9635777561125611,2.0207057999569087,1.9524694042179194,2.006460490526382,313858.18118466897,47220025.951219514
2024-07-27,2024-07-28,1.944979465242421,2.0056298424427275,1.938845373017164,1.9632732790238823,421594.79790940764,47059013.03832752
2024-07-26,2024-07-27,1.9458581638127634,1.9710021346748072,1.930124911541551,1.9418702259778824,394324.0871080139,46351873.43554007
2024-07-25,2024-07-26,1.9719599656339202,1.9719799989767033,1.9143918247773304,1.9522281888199102,415758.85017421603,46336751.721254356
2024-07-24,2024-07-25,2.09123402136553,2.0945664224102964,1.9740177195023791,1.9740177195023791,344629.00696864113,49001588.97212543
2024-07-23,2024-07-24,2.1268185225417384,2.171347424890517,2.07348642802786,2.095342440905698,7383942.8989547035,50468137.63414634
2024-07-22,2024-07-23,2.122087097238814,2.1371384638353073,2.074784224292239,2.128735820768008,4908084.207017544,50351932.298245616
2024-07-21,2024-07-22,2.1268695174011594,2.167421921118912,2.095489187766434,2.12395244149832,487575.3135888502,50934177.35888502
2024-07-20,2024-07-21,2.065485701900749,2.1272544669538407,2.065485701900749,2.124557487825993,416437.756097561,50174482.34146342
2024-07-19,2024-07-20,2.0351705856362257,2.1132512457362527,1.9921531143622642,2.0651973880969083,352432.35540069686,48759146.43902439
2024-07-18,2024-07-19,2.073844272317017,2.0768879316696625,2.0179685048940676,2.035404983126913,404868.94076655054,48706071.480836235
2024-07-17,2024-07-18,2.099258084970281,2.131207203292447,2.0412314871531563,2.0753328436022853,455100.45296167245,49679750.35191637
2024-07-16,2024-07-17,2.160553866814204,2.1789003647542393,1.9825674474891912,2.097060410471706,718115.7804878049,49456063.487804875
2024-07-15,2024-07-16,1.9852539475402076,2.1520432070979707,1.9668024845594736,2.14753460179574,445394.7595818815,48135897.146341465
2024-07-14,2024-07-15,1.9302314451294542,2.081101998403574,1.9280850985281652,1.9863550662364002,327570.54355400696,48018488
2024-07-13,2024-07-14,1.9168756885204514,1.9818719621391774,1.9151558692041701,1.9288289862846308,300496.3449477352,46447352.44947735
2024-07-12,2024-07-13,1.882957629315841,1.9634893351405842,1.8798635310756848,1.9166226805667463,347652.13588850177,45624924.90940767
2024-07-11,2024-07-12,1.8917796102634612,1.9099798260815306,1.846542916884034,1.8921512128201903,424380.23426573427,44968368.237762235
2024-07-10,2024-07-11,1.9005014663023714,2.008880939548647,1.8468338609792918,1.893650119025162,479436.787456446,45475692.56097561
2024-07-09,2024-07-10,1.7647481842398127,1.905473337532706,1.7256575820764215,1.9053526234230396,341610.49128919863,42454902.578397214
2024-07-08,2024-07-09,1.7498987068786018,1.7646867902603036,1.7015118839063874,1.7646867902603036,419580.09407665505,41484546.55052265
2024-07-07,2024-07-08,1.7991621966991997,1.8269272262425449,1.7323710799356111,1.7652640582860377,347164.1567944251,42405254.75958188
2024-07-06,2024-07-07,1.8294048990987748,1.8294048990987748,1.720268753449699,1.7916632943950366,712639.9337979094,42288383.480836235
2024-07-05,2024-07-06,1.7779590569155919,1.8930254238295083,1.6111353024618364,1.827918516485947,574881.1289198606,40681367.07665505
2024-07-04,2024-07-05,1.8461433293882148,1.8517577931854525,1.730884443314971,1.7856832776261853,700375.306620209,42423729.01393728
2024-07-03,2024-07-04,2.01115856037354,2.030848831843903,1.82782462979341,1.8295537043375916,1155597.6167247386,46181331.839721255
2024-07-02,2024-07-03,2.101094736152508,2.2750398101433746,2.0821789142362235,2.1814096342008824,652507.9616724738,50812860.28222997
2024-07-01,2024-07-02,2.2283176717110935,2.349084898167404,2.101928916782132,2.101928916782132,531388.1881533101,53360576.832752615
2024-06-30,2024-07-01,2.2647795397835746,2.2752959583851706,2.1406494093119703,2.2231566033011516,1105895.4529616726,52665283.17770035
2024-06-29,2024-06-30,2.636803534632315,2.636803534632315,2.2388197982690046,2.2912057972034683,2258957.212543554,57347164.12891986
2024-06-28,2024-06-29,2.0509290891627865,2.722561658742623,1.9616897269789613,2.6188184606737805,523890.7038327526,50014467.35888502
2024-06-27,2024-06-28,2.03233877780838,2.1153688991822137,2.0174839428698106,2.0518972227659176,294692.8675958188,48852834.41114982
2024-06-26,2024-06-27,2.066171418813027,2.086180763395693,2.021246686336078,2.0320261059115268,362610.35540069686,48977440.63414634
2024-06-25,2024-06-26,2.028576608750035,2.15282695906083,2.028576608750035,2.0650417562628163,411695.82229965157,50073390.24041812
2024-06-24,2024-06-25,2.0931384786688714,2.1019785066721908,2.0008726852121343,2.023438079537078,345575.5156794425,48788875.71428572
2024-06-23,2024-06-24,2.171339707997338,2.2157342199225503,2.0849319163351763,2.089924754595653,452239.4668989547,50441339.825783975
2024-06-22,2024-06-23,2.0859720301772575,2.1751106880438815,2.0450814132982975,2.1726038788504525,327016.4773519164,50128218.212543555
2024-06-21,2024-06-22,2.0881763405785136,2.08900130899573,2.0425483716256907,2.08297335298478,497344.92334494775,49329744.571428575
2024-06-20,2024-06-21,2.1315331639408663,2.1508392529116325,2.064346647082482,2.0840868171284495,1388357.9477351916,49865127.40418118
2024-06-19,2024-06-20,2.1467249721175636,2.2274985374074276,2.1312105580931977,2.1312105580931977,478792.6968641115,51954683.682926826
2024-06-18,2024-06-19,2.18543740919779,2.18543740919779,2.0376545394306564,2.1206619231625385,521587.00348432054,50056228.58885018
2024-06-17,2024-06-18,2.225527459945329,2.2566247855678614,2.12280610213838,2.184455310769524,418684.6480836237,52465196.801393725
2024-06-16,2024-06-17,2.2609864035027,2.2684127472487887,2.206569686794914,2.2250064396900733,305728.4146341463,53518134.91637631
2024-06-15,2024-06-16,2.2518572500717116,2.2717765966150725,2.2020710182212713,2.260825871001046,374332.2195121951,53477955.74912892
2024-06-14,2024-06-15,2.323997665980913,2.3934394079996952,2.225595913713519,2.234367989758523,355898.0696864111,55146995.86759582
2024-06-13,2024-06-14,2.436705794113435,2.4636521663465802,2.324650492182556,2.324650492182556,475188.1219512195,57336884.06620209
2024-06-12,2024-06-13,2.366434001685137,2.4978015018235507,2.366434001685137,2.4427062438226708,649564.5400696864,58407038.721254356
2024-06-11,2024-06-12,2.491449730738754,2.492665102430627,2.3271676662415426,2.371904702444972,587997.6550522648,58001337.414634146
2024-06-10,2024-06-11,2.440951200115416,2.5803665317180644,2.4183154758373138,2.495136528336864,508360.8048780488,59422444.094076656
2024-06-09,2024-06-10,2.366538923372373,2.447000833653674,2.364585983901341,2.433161878770016,544392.0069686411,57171520.2369338
2024-06-08,2024-06-09,2.4908462379463225,2.5428330541449586,2.366198637948896,2.3709151308475076,638419.9094076655,59260153.801393725
2024-06-07,2024-06-08,2.7171815290688794,2.7171815290688794,2.4704903591695313,2.4830537693371517,626386.6724738675,62314491.25087108
2024-06-06,2024-06-07,2.7544351835773693,2.8037140602664787,2.6408671077644987,2.710888344799472,462994.7770034843,65578207.9825784
2024-06-05,2024-06-06,2.797841155843558,2.8035709229590795,2.67443636717942,2.757568532073167,656055.9651567944,65248275.22299652
2024-06-04,2024-06-05,2.6406182953393427,2.7857216223242993,2.6255566706181903,2.7857216223242993,504518.0348432056,63602527.233449474
2024-06-03,2024-06-04,2.6929798048816957,2.7760763272714892,2.638484462124011,2.6387448313368287,594074.1567944251,64542575.92334495
2024-06-02,2024-06-03,2.710889379444768,2.766198599779055,2.6747687844587973,2.6986333204109156,577803.5958188153,64819508.101045296
2024-06-01,2024-06-02,2.761862917266429,2.7872450247156944,2.71061974354933,2.71061974354933,657502.9616724738,65652476.62020906
2024-05-31,2024-06-01,2.808887066992463,2.808887066992463,2.6978464695077373,2.769209478871305,469287.6794425087,65597230.18118467
2024-05-30,2024-05-31,2.8137064203628337,2.8355669498783116,2.780033497575241,2.8121905148166912,568385.3379790941,66825419.63414634
2024-05-29,2024-05-30,2.9293252765508973,2.9305115337505305,2.7646911335468216,2.8122534362873703,577250.7491289199,68151720.41114983
2024-05-28,2024-05-29,3.005964325292682,3.005964325292682,2.88039189491686,2.9283968794925133,625992.2264808363,70092934.66550523
2024-05-27,2024-05-28,2.9688395966243784,3.009786920291301,2.905247726631421,3.009786920291301,559730.8641114982,70453706.06271777
2024-05-26,2024-05-27,2.968682385073597,3.0053004292429297,2.9233759150977576,2.970228945164208,415603.13588850177,70664111.92682926
2024-05-25,2024-05-26,2.9223781617412596,3.028329648861333,2.9223781617412596,2.9666504633532345,506201.85714285716,70641307.90243903
2024-05-24,2024-05-25,2.9738496963733847,2.999196215617644,2.882728081147377,2.923665158384844,648995.4076655052,69964378.95121951
2024-05-23,2024-05-24,2.9904010115156288,3.060080297808787,2.890296039978182,2.974292882128273,659329.4634146341,71347461
